会意率%,期望伤害
0,16136.1768
1,16172.8049
2,16209.4331
3,16246.0612
4,16282.6893
5,16319.3174
6,16355.9456
7,16392.5737
8,16429.2018
9,16465.83
10,16502.4581
11,16539.0862
12,16575.7144
13,16612.3425
14,16648.9706
15,16685.5988
16,16722.2269
17,16758.855
18,16795.4832
19,16832.1113
20,16868.7394
21,16905.3675
22,16941.9957
23,16978.6238
24,17015.2519
25,17051.8801
26,17088.5082
27,17125.1363
28,17161.7645
29,17198.3926
30,18490.0567
31,18508.7557
32,18527.4548
33,18546.1538
34,18564.8529
35,18583.5519
36,18602.251
37,18620.95
38,18639.6491
39,18658.3481
40,18677.0472
41,18695.7462
42,18714.4453
43,18733.1443
44,18751.8433
45,18770.5424
46,18789.2414
47,18807.9405
48,18826.6395
49,18845.3386
50,18864.0376
